Date,Cyclic_Trend
2012-07-04,1456540.1645792697
2012-07-05,428791.0914279955
2012-07-06,-828959.9140496142
2012-07-07,-1838682.8211784328
2012-07-08,-2049844.100872182
2012-07-09,-1366745.2531422742
2012-07-10,-249281.86525235753
2012-07-11,545349.3880685034
2012-07-12,533753.3084312824
2012-07-13,-210935.71410552025
2012-07-14,-1105737.089651723
2012-07-15,-1447874.4006583905
2012-07-16,-949978.8248705015
2012-07-17,86206.58595942517
2012-07-18,991555.7358592623
2012-07-19,1231366.713423248
2012-07-20,753600.6611084803
2012-07-21,6114.442323193274
2012-07-22,-417691.05673236924
2012-07-23,-233491.8583227974
2012-07-24,354885.10185991676
2012-07-25,910666.4889979851
2012-07-26,1115118.560010751
2012-07-27,1060609.135354615
2012-07-28,1159261.4117262429
2012-07-29,1783475.8539259355
2012-07-30,2877221.0072068353
2012-07-31,3893399.3278188254
2012-08-01,4143818.0049690064
2012-08-02,3287384.0112276888
2012-08-03,1592687.2796665228
2012-08-04,-180989.75547598358
2012-08-05,-1260363.5128844006
2012-08-06,-1361071.595358975
2012-08-07,-841936.2786129812
2012-08-08,-389085.87127267115
2012-08-09,-516730.7507651487
2012-08-10,-1211173.377782144
2012-08-11,-1964627.9524502386
2012-08-12,-2186267.695434611
2012-08-13,-1658401.6707332833
2012-08-14,-691030.3725450957
2012-08-15,113855.0379231012
2012-08-16,305503.7945210813
2012-08-17,-107816.78288172797
2012-08-18,-689556.0911774986
2012-08-19,-937591.5886180722
2012-08-20,-673289.0327593432
2012-08-21,-163028.8898467579
2012-08-22,113297.07726415852
2012-08-23,-125399.37661336118
2012-08-24,-699341.191528928
2012-08-25,-1050484.1242032123
2012-08-26,-634854.8200456662
2012-08-27,657863.9628693999
2012-08-28,2373177.089559006
2012-08-29,3725979.6278426936
2012-08-30,4093994.595188423
2012-08-31,3360896.1798099587
2012-09-01,1958026.1667595082
2012-09-02,556185.7642280734
2012-09-03,-331881.4029815601
2012-09-04,-617627.2353895528
2012-09-05,-560825.8276070463
2012-09-06,-507067.87095063366
2012-09-07,-624796.1217993456
2012-09-08,-830107.7302524982
2012-09-09,-921818.5049899967
2012-09-10,-792038.9164198404
2012-09-11,-530741.0004717641
2012-09-12,-357032.78730197327
2012-09-13,-437591.82712415355
2012-09-14,-747435.1837589598
2012-09-15,-1082177.2141560484
2012-09-16,-1206135.690017879
2012-09-17,-1025325.8906861589
2012-09-18,-651589.7900841857
2012-09-19,-322789.22511204425
2012-09-20,-236254.69689220062
2012-09-21,-426316.13204787055
2012-09-22,-755524.5108602336
2012-09-23,-1012642.0703250989
2012-09-24,-1034265.2988534685
2012-09-25,-776104.7386763135
2012-09-26,-299450.97629696166
2012-09-27,274717.2403314995
2012-09-28,800424.0743608285
2012-09-29,1134848.7222296523
2012-09-30,1140407.2280410572
2012-10-01,741883.9455918105
2012-10-02,-11546.082552167045
2012-10-03,-915172.7740965894
