Date,Linear_Trend
2012-07-04,4704663.4233746575
2012-07-05,4701306.653705146
2012-07-06,4700143.170259547
2012-07-07,4699279.06366083
2012-07-08,4699012.043482536
2012-07-09,4699016.43591774
2012-07-10,4699470.610802567
2012-07-11,4699315.738518455
2012-07-12,4699192.044102168
2012-07-13,4699121.057489899
2012-07-14,4698729.5633821655
2012-07-15,4698556.007145184
2012-07-16,4698494.651305675
2012-07-17,4698637.779719125
2012-07-18,4698756.174404397
2012-07-19,4699018.1236640625
2012-07-20,4699168.907217289
2012-07-21,4699122.566234283
2012-07-22,4699290.412355912
2012-07-23,4699829.902232342
2012-07-24,4700268.142218289
2012-07-25,4701061.570133775
2012-07-26,4701892.084325008
2012-07-27,4702741.337428196
2012-07-28,4703419.623729384
2012-07-29,4704215.981316848
2012-07-30,4705272.909138918
2012-07-31,4706336.228722163
2012-08-01,4707362.872427971
2012-08-02,4708434.930405497
2012-08-03,4709179.791735028
2012-08-04,4709515.99550902
2012-08-05,4709701.987850124
2012-08-06,4709884.514605125
2012-08-07,4709973.174303514
2012-08-08,4710104.832685298
2012-08-09,4710273.599208201
2012-08-10,4710293.540889185
2012-08-11,4710205.32409113
2012-08-12,4710089.089990035
2012-08-13,4709887.976849974
2012-08-14,4709608.087257728
2012-08-15,4709266.311907553
2012-08-16,4708935.833313134
2012-08-17,4708510.9766842555
2012-08-18,4708045.03122429
2012-08-19,4707545.994197019
2012-08-20,4707011.321340571
2012-08-21,4706458.791570059
2012-08-22,4705852.253809451
2012-08-23,4705227.236917687
2012-08-24,4704512.346274201
2012-08-25,4703731.903814206
2012-08-26,4702957.723400466
2012-08-27,4702171.283466338
2012-08-28,4701421.117369847
2012-08-29,4700403.065825059
2012-08-30,4699261.9854714535
2012-08-31,4697921.143046778
2012-09-01,4696495.47724782
2012-09-02,4694986.070207154
2012-09-03,4693654.641115278
2012-09-04,4692378.223764997
2012-09-05,4691220.035831106
2012-09-06,4690140.63566628
2012-09-07,4689095.914731134
2012-09-08,4688056.657004962
2012-09-09,4687029.957503679
2012-09-10,4686006.360752109
2012-09-11,4685043.359112296
2012-09-12,4684135.143479727
2012-09-13,4683279.081024701
2012-09-14,4682473.606984354
2012-09-15,4681692.822317617
2012-09-16,4680920.260143629
2012-09-17,4680153.80162972
2012-09-18,4679429.111889943
2012-09-19,4678701.325505528
2012-09-20,4677973.800790006
2012-09-21,4677252.54752975
2012-09-22,4676547.974699349
2012-09-23,4675846.210623726
2012-09-24,4675176.091870093
2012-09-25,4674483.542325575
2012-09-26,4673778.718690083
2012-09-27,4673077.672854542
2012-09-28,4672291.078837776
2012-09-29,4671586.966657608
2012-09-30,4670906.792799405
2012-10-01,4670286.133234049
2012-10-02,4669708.974240371
2012-10-03,4669225.1345921075
2012-10-04,4668720.750070575
2012-10-05,4668247.095501087
2012-10-06,4667783.8767951485
2012-10-07,4667356.532008548
2012-10-08,4666902.552827948
2012-10-09,4666428.314400718
2012-10-10,4665942.809962734
2012-10-11,4665482.498439915
2012-10-12,4664996.029410297
2012-10-13,4664547.85806608
2012-10-14,4664140.003446385
2012-10-15,4663747.65286961
2012-10-16,4663390.450191746
2012-10-17,4663077.091133391
2012-10-18,4662760.6553285
2012-10-19,4662462.505541301
2012-10-20,4662187.649072655
2012-10-21,4661914.485898384
2012-10-22,4661675.533727601
2012-10-23,4661452.744664113
2012-10-24,4661257.849359849
2012-10-25,4661081.705014224
2012-10-26,4660923.302471952
2012-10-27,4660795.677387701
2012-10-28,4660680.421464777
2012-10-29,4660494.379687097
2012-10-30,4660326.61747878
2012-10-31,4660173.319344316
2012-11-01,4660039.270509273
2012-11-02,4659888.27421021
2012-11-03,4659814.323667215
2012-11-04,4659729.863617045
2012-11-05,4659651.514777891
2012-11-06,4659579.911856114
2012-11-07,4659490.902476388
2012-11-08,4659411.481627337
2012-11-09,4659337.31770928
2012-11-10,4659248.38849599
2012-11-11,4659155.79882211
2012-11-12,4659067.754481783
2012-11-13,4659008.285850466
2012-11-14,4658967.678307385
2012-11-15,4658928.864290578
2012-11-16,4658901.059956315
2012-11-17,4658886.779414952
2012-11-18,4658861.515897142
2012-11-19,4658818.644787508
2012-11-20,4658744.65080912
2012-11-21,4658668.965329121
2012-11-22,4658587.39155659
2012-11-23,4658507.35533086
2012-11-24,4658400.140126486
2012-11-25,4658306.5912431395
2012-11-26,4658211.37954624
2012-11-27,4658108.006241375
2012-11-28,4657973.712831798
2012-11-29,4657834.930723787
2012-11-30,4657681.103468652
2012-12-01,4657528.015151149
2012-12-02,4657373.4767907355
2012-12-03,4657241.801813707
2012-12-04,4657113.827721658
2012-12-05,4657000.2716326
2012-12-06,4656890.423206198
2012-12-07,4656766.373873627
2012-12-08,4656637.283048342
2012-12-09,4656507.161695904
2012-12-10,4656372.192051615
2012-12-11,4656236.359207607
2012-12-12,4656091.656342212
2012-12-13,4655924.752640114
2012-12-14,4655760.2187368525
2012-12-15,4655594.4321112605
2012-12-16,4655412.702499126
2012-12-17,4655221.162600577
2012-12-18,4655014.020802333
2012-12-19,4654789.68537008
2012-12-20,4654556.012185161
2012-12-21,4654301.552449894
2012-12-22,4654037.892168568
2012-12-23,4653783.575378465
